epoch,accuracy,loss,val_accuracy,val_loss
0,0.30972388,1.7924219540187292,0.5743243098258972,1.5485483375755515
1,0.5654262,1.1850301450541039,0.7567567825317383,0.8466521940521292
2,0.6938776,0.8042676209652123,0.8310810923576355,0.6549571599509265
3,0.76710683,0.6436939900036619,0.8513513803482056,0.4376624640379403
4,0.8307323,0.4786678214064416,0.9054054021835327,0.3266133964565155
5,0.89555824,0.3442806217197266,0.9324324131011963,0.23772626201546676
6,0.9267707,0.26745128247127753,0.912162184715271,0.2773220494918123
7,0.9207683,0.2518013951763855,0.9527027010917664,0.13684964602234195
8,0.9303722,0.20387196903285265,0.9729729890823364,0.13171589779400117
9,0.93517405,0.19843314761372222,0.9729729890823364,0.10598705917898868
10,0.9471789,0.18090539811542963,0.9797297120094299,0.11506162535845982
11,0.93877554,0.1722512089477621,0.9662162065505981,0.10971740087985087
12,0.96038413,0.12116839962574213,0.9729729890823364,0.08628716414504861
13,0.95318127,0.1514958628459612,0.9729729890823364,0.09064179722121775
14,0.9711885,0.10870496155043571,0.9797297120094299,0.09612368913587636
15,0.96038413,0.11285637664063145,0.9594594836235046,0.13068684552657744
16,0.97959185,0.09206281382861843,0.9797297120094299,0.07461193037306657
17,0.9627851,0.09623711955112053,0.9459459185600281,0.13061438464875036
18,0.9735894,0.115852559639562,0.9662162065505981,0.08305621484157961
19,0.972389,0.08725392053928153,0.9797297120094299,0.07311976970586206
20,0.9843938,0.05257460873536049,0.9662162065505981,0.09979112081551599
21,0.972389,0.09194755981942984,0.9527027010917664,0.10613732417840692
22,0.9735894,0.0837135191077342,0.9864864945411682,0.0734026099022673
23,0.969988,0.08373083235310026,0.9729729890823364,0.07652688314801953
24,0.9855942,0.05362028348099939,0.9864864945411682,0.08616507453462963
25,0.98079234,0.05700442713763352,0.9864864945411682,0.0668927369294112
26,0.96758705,0.09888057398594602,0.9729729890823364,0.08786287574986164
27,0.95438176,0.12345605621864225,0.9594594836235046,0.11266270577097375
28,0.97959185,0.05052050499812942,0.9797297120094299,0.05257088131359499
29,0.98079234,0.06026290436090653,0.9527027010917664,0.134405423196196
30,0.9831933,0.06293892861722815,0.9864864945411682,0.05447837719777847
31,0.9855942,0.03961664367524843,0.9662162065505981,0.1521371930527737
32,0.96038413,0.10051006189326304,0.9729729890823364,0.0939082603239193
33,0.9747899,0.08209994749862784,0.9797297120094299,0.1186701274113934
34,0.9831933,0.06064055461139778,0.9797297120094299,0.11631041169932388
35,0.97959185,0.051277135623437796,0.9527027010917664,0.16085860744204036
36,0.97719085,0.07358490962839294,0.9729729890823364,0.11574724655277904
37,0.97839135,0.07637774895536907,0.9864864945411682,0.13231950835245396
38,0.97839135,0.05425786762450277,0.9797297120094299,0.06355694211937146
39,0.97959185,0.053736998417105615,0.9797297120094299,0.07755952803337415
40,0.97959185,0.05508898348321551,0.9662162065505981,0.11826973829126497
41,0.9879952,0.03880767130734615,0.9594594836235046,0.1313092045156306
42,0.9759904,0.0680044634663234,0.9594594836235046,0.2053985518884007
43,0.9831933,0.049574211509554454,0.9797297120094299,0.13704670956608317
44,0.98079234,0.04694052115629689,0.9662162065505981,0.1040935376157646
45,0.9867947,0.04896801470378231,0.9729729890823364,0.1271532583850166
46,0.9867947,0.03906518997993825,0.9662162065505981,0.11981226733222633
47,0.9855942,0.047016532591947845,0.9797297120094299,0.07118876097744355
48,0.9831933,0.050950341818175544,0.9864864945411682,0.06519747977161869
49,0.9819928,0.03481168096161181,0.9797297120094299,0.12082312899195852
